# drug_endpoint_group_members.csv
# Source of truth: docs/duplicate-medication-assessment-guide.md §3.4 (L4 P0 endpoint groups)
# ATC codes verified against WHO ATC/DDD Index.
# Fields: group_key,atc_code,active_ingredient,member_subtype
# member_subtype is optional — only nephrotoxic_triple_whammy uses it (nsaid | raas | diuretic).
# Lines starting with # are ignored by loader.
group_key,atc_code,active_ingredient,member_subtype
# -- raas_blockade (§3.4) --
# ACEI (C09AA)
raas_blockade,C09AA01,Captopril,
raas_blockade,C09AA02,Enalapril,
raas_blockade,C09AA03,Lisinopril,
raas_blockade,C09AA04,Perindopril,
raas_blockade,C09AA05,Ramipril,
raas_blockade,C09AA06,Quinapril,
raas_blockade,C09AA07,Benazepril,
raas_blockade,C09AA08,Cilazapril,
raas_blockade,C09AA09,Fosinopril,
raas_blockade,C09AA10,Trandolapril,
raas_blockade,C09AA13,Moexipril,
raas_blockade,C09AA15,Zofenopril,
raas_blockade,C09AA16,Imidapril,
# ARB (C09CA)
raas_blockade,C09CA01,Losartan,
raas_blockade,C09CA02,Eprosartan,
raas_blockade,C09CA03,Valsartan,
raas_blockade,C09CA04,Irbesartan,
raas_blockade,C09CA06,Candesartan,
raas_blockade,C09CA07,Telmisartan,
raas_blockade,C09CA08,Olmesartan,
raas_blockade,C09CA09,Azilsartan,
# ARNI
raas_blockade,C09DX04,Sacubitril/Valsartan,
# DRI
raas_blockade,C09XA02,Aliskiren,
# MRA (affect K/renal — guide §3.4 explicitly lists with RAAS)
raas_blockade,C03DA01,Spironolactone,
raas_blockade,C03DA04,Eplerenone,
raas_blockade,C03DA05,Finerenone,
# -- bleeding_risk (§3.4) --
# NSAID (M01A)
bleeding_risk,M01AE01,Ibuprofen,
bleeding_risk,M01AE02,Naproxen,
bleeding_risk,M01AE03,Ketoprofen,
bleeding_risk,M01AB05,Diclofenac,
bleeding_risk,M01AB01,Indometacin,
bleeding_risk,M01AC01,Piroxicam,
bleeding_risk,M01AC06,Meloxicam,
bleeding_risk,M01AH01,Celecoxib,
bleeding_risk,M01AH05,Etoricoxib,
bleeding_risk,M01AB15,Ketorolac,
bleeding_risk,M01AE51,Ibuprofen combinations,
bleeding_risk,N02BA01,Acetylsalicylic acid (analgesic dose),
# SSRI (N06AB)
bleeding_risk,N06AB03,Fluoxetine,
bleeding_risk,N06AB04,Citalopram,
bleeding_risk,N06AB05,Paroxetine,
bleeding_risk,N06AB06,Sertraline,
bleeding_risk,N06AB08,Fluvoxamine,
bleeding_risk,N06AB10,Escitalopram,
# Anticoagulants — VKA (B01AA)
bleeding_risk,B01AA03,Warfarin,
bleeding_risk,B01AA07,Acenocoumarol,
# Anticoagulants — DOAC direct thrombin (B01AE)
bleeding_risk,B01AE07,Dabigatran,
# Anticoagulants — DOAC FXa (B01AF)
bleeding_risk,B01AF01,Rivaroxaban,
bleeding_risk,B01AF02,Apixaban,
bleeding_risk,B01AF03,Edoxaban,
# Heparin / LMWH (B01AB)
bleeding_risk,B01AB01,Heparin,
bleeding_risk,B01AB05,Enoxaparin,
bleeding_risk,B01AB04,Dalteparin,
bleeding_risk,B01AB10,Tinzaparin,
bleeding_risk,B01AB06,Nadroparin,
# Fondaparinux and others (B01AX)
bleeding_risk,B01AX05,Fondaparinux,
