# drug_mechanism_group_members.csv
# Source of truth: docs/duplicate-medication-assessment-guide.md §3.4
# ATC codes verified against WHO ATC/DDD Index.
# Fields: group_key,atc_code,active_ingredient
# Lines starting with # are ignored by loader.
group_key,atc_code,active_ingredient
# -- alpha1_blocker (§3.4 α-blocker; §3.1 雙 α1-blocker) --
alpha1_blocker,C02CA04,Doxazosin
alpha1_blocker,G04CA02,Tamsulosin
alpha1_blocker,C02CA01,Prazosin
alpha1_blocker,G04CA03,Terazosin
alpha1_blocker,G04CA01,Alfuzosin
alpha1_blocker,G04CA04,Silodosin
# -- serotonergic (§3.4 血清素) --
# SSRI (N06AB)
serotonergic,N06AB03,Fluoxetine
serotonergic,N06AB04,Citalopram
serotonergic,N06AB05,Paroxetine
serotonergic,N06AB06,Sertraline
serotonergic,N06AB08,Fluvoxamine
serotonergic,N06AB10,Escitalopram
# SNRI (N06AX)
serotonergic,N06AX16,Venlafaxine
serotonergic,N06AX17,Milnacipran
serotonergic,N06AX21,Duloxetine
# Opioid with serotonergic activity
serotonergic,N02AX02,Tramadol
serotonergic,N02AX06,Tapentadol
# Antibiotic MAOI-like
serotonergic,J01XX08,Linezolid
# Methylene blue (MAOI activity)
serotonergic,V03AB17,Methylene blue
# Triptans (N02CC)
serotonergic,N02CC01,Sumatriptan
serotonergic,N02CC02,Naratriptan
serotonergic,N02CC03,Zolmitriptan
serotonergic,N02CC04,Rizatriptan
serotonergic,N02CC05,Almotriptan
serotonergic,N02CC06,Eletriptan
serotonergic,N02CC07,Frovatriptan
# 5-HT3 antagonist (serotonergic at high dose per §3.4)
serotonergic,A04AA01,Ondansetron
# -- qtc_prolonging (§3.4 QTc 延長) --
qtc_prolonging,N05AD01,Haloperidol
qtc_prolonging,A04AA01,Ondansetron
qtc_prolonging,A04AA02,Granisetron
qtc_prolonging,J01FA10,Azithromycin
qtc_prolonging,J01FA01,Erythromycin
qtc_prolonging,J01MA02,Ciprofloxacin
qtc_prolonging,J01MA12,Levofloxacin
qtc_prolonging,J01MA14,Moxifloxacin
qtc_prolonging,N07BC02,Methadone
qtc_prolonging,N06AB04,Citalopram
qtc_prolonging,N06AB10,Escitalopram
qtc_prolonging,C01BD01,Amiodarone
